name,affiliations,author_id,cited_by,interests
Afshin Rahimi,Applied Scientist @ Amazon,WhPw2I0AAAAJ,1293,Natural Language Processing
Alberto Tonon,"PhD Student, University of Fribourg",zBYcXUMAAAAJ,467,"Computer Science, Information Retrieval, Semantic Web"
Alessandro Checco,Computer Science Department - University of Rome La Sapienza,crhkrNcAAAAJ,903,"Human Computation, Crowdsourcing, Graph Theory, Markov Chains, Wireless Networks"
Andrea Brunello,Università degli Studi di Udine,GuteS00AAAAJ,281,"Data science, machine learning, evolutionary computation, data modelling, databases"
Andrew Turpin,Lions Eye Institute and Curtin University,lCZblDwAAAAJ,6886,"Human vision, Computer vision, Information Science, Data Analysis"
Arkaitz Zubiaga,Queen Mary University of London,IUb-xxMAAAAJ,6611,"Social Media Mining, Social Data Science, Natural Language Processing, Computational Social Science, Computational Journalism"
Beatrice Portelli,University of Udine,HQZd6wsAAAAJ,144,
Carlo Alberto Beltrami,"Professore, Università di Udine",EZrMWWMAAAAJ,18394,cellule staminali
Carlo Tasso,Full Professor in Computer Science,ITxRmxIAAAAJ,3642,"Artificial Intelligence, Web Intelligence, Semantic Web"
Claudio Carpineto,Fondazione Ugo Bordoni,MnwqYB8AAAAJ,5535,"information retrieval, data mining, artificial intelligence, formal concept analysis, data privacy"
Claudiu S. Firan,,SRc8aowAAAAJ,1742,
Cristina Sarasua,University of Zurich,i_2lvZwAAAAJ,769,"CSCW, Digital Democracy, Civic Technology, Data Analytics, Knowledge Graphs"
Damiano Spina,"School of Computing Technologies, RMIT University",sLzYrNYAAAAJ,2485,"Information Retrieval, Text Analytics, Data Science, Evaluation, Human-AI Fact-checking"
Dante Degl'Innocenti,Datamantix,Ay6L7NsAAAAJ,117,"Artificial Intelligence, Deep Learning, Natural Language Processing, Data Science, Machine Learning"
David La Barbera,Università Degli Studi Di Udine,MvN8wKEAAAAJ,139,Computer Science
Davide Ceolin,"Tenured Researcher, CWI Amsterdam",y8Jy518AAAAJ,497,"Information Quality, Trust, Semantic Web, Probabilistic Logic, Provenance"
Djellel Difallah,"Assistant Professor, Computer Science, NYU Abu Dhabi",K5d-OHEAAAAJ,3092,"Crowdsourcing systems, Data science, Big Data systems"
"Dr. Wasim Ahmed, PhD",Senior Lecturer in Marketing,JduIcrAAAAAJ,2172,"Disinformation, Twitter, Digital Business, Social Network Analysis, Health Informatics"
Eddy Maddalena,"Università degli Studi di Udine, Italy",egHDpFkAAAAJ,552,"Information Retrieval, Crowdsourcing, Data Science, Human Computation, Web science"
Edgar Meij,Bloomberg,vb6YKF0AAAAJ,3138,"Information Retrieval, Semantich Search, Machine Learning"
Elena Nazzi,"PhD student in Interaction Design, IT University of Copenhagen",krOJM2sAAAAJ,175,"Interaction Design, Social Computing, Tangible Computing, Internet of Things, Embodied Interaction"
Elena Simperl,"Professor of computer science, King's College London, United Kingdom",xB7s3wgAAAAJ,7002,"knowledge graphs, knowledge engineering, open data, social computing, human computation"
Fabio Crestani,"Faculty of Informatics, Universitá della Svizzera Italiana (USI), Lugano, Switzerland",EoGBsiMAAAAJ,10239,"Information Retrieval, Data Science, Text Mining, Digital Libraries"
Falk Scholer,"School of Computing Technologies, RMIT University",qOLjlqsAAAAJ,4642,"Information retrieval, search, … and ethics of algorithms AI and computing, data science, dat"
Flora Salim,"Professor, Cisco Chair of Digital Transport, Computer Science and Engineering, UNSW",Yz35RSYAAAAJ,3945,"Machine Learning, Artificial Intelligence, Ubiquitous Computing, Time Series, Mobility Data Science"
Gianluca Demartini,Associate Professor at the University of Queensland,PCAiILsAAAAJ,5352,"Information Retrieval, Semantic Web, Human Computation, Crowdsourcing"
Giorgio Brajnik,"Associate Professor of User Centered Development, Computer science, University of Udine …",a-qHaRIAAAAJ,3585,"Usability, Accessibility, Use Experience, Model-based Engineering of User Interfaces"
Giuseppe Primiero,"Department of Philosophy, University of Milan",srKA534AAAAJ,1131,"Logic, Philosophy of Computer Science"
Giuseppe Serra,"Associate Professor of Computer Science, University of Udine",xz1J-xQAAAAJ,5333,"Machine Learning, Artificial Intelligence, Multimedia, NLP, Multimedia Forensics"
